          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   2721.500    3262.820      308.8650537       60.1214445      19.624       0.004      18.749       0.003      18.052       0.001 
   2618.780    1110.640      308.8786496       60.1441578      19.815       0.003      18.948       0.001      18.235       0.002 
   3769.270    1428.280      308.9003116       60.1366832      22.227       0.009      20.502       0.002      19.135       0.001 
   3100.040    1748.180      308.8840191       60.1357932      21.608       0.007      20.064       0.001      18.870       0.001 
   1857.640    2621.250      308.8517352       60.1312374      23.242       0.014      21.428       0.003      19.960       0.003 
   2433.140    2431.620      308.8651184       60.1311190      20.525       0.005      19.561       0.001      18.778       0.002 
   4132.260    1617.760      308.9064904       60.1333978      20.079       0.004      19.300       0.001      18.640       0.001 
   4328.820    2352.720      308.9052053       60.1250557      23.192       0.013      21.361       0.002      19.916       0.002 
   3568.280    1988.670      308.8920199       60.1315969      20.360       0.005      19.510       0.001      18.802       0.001 
   3011.070    2403.020      308.8773744       60.1293190      21.758       0.007      20.389       0.002      19.327       0.002 
   2398.170    1180.500      308.8735381       60.1442332      20.924       0.004      19.899       0.001      19.069       0.001 
   2482.050    2155.630      308.8681556       60.1338066      23.083       0.011      21.336       0.002      19.978       0.002 
   2148.180    3343.460      308.8525159       60.1226864      22.315       0.012      20.864       0.004      19.716       0.003 
   1719.470    1181.060      308.8593797       60.1466894      22.247       0.007      20.967       0.003      19.958       0.003 
   1470.980    3302.990      308.8386960       60.1255610      22.018       0.010      20.784       0.003      19.806       0.003 
   1539.760    2612.350      308.8451729       60.1324820      20.792       0.005      20.070       0.002      19.444       0.002 
   3067.610    1800.690      308.8829589       60.1353659      24.891       0.045      22.993       0.005      21.430       0.003 
   2748.540    1531.810      308.8782739       60.1393150      24.468       0.020      22.537       0.004      20.990       0.003 
   3021.660    3269.030      308.8712634       60.1202911      24.470       0.025      22.575       0.004      21.043       0.003 
   1696.370    2513.620      308.8491593       60.1329394      24.133       0.025      22.255       0.003      20.793       0.003 
