          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   2721.500    3262.820      308.8650537       60.1214445      19.350       0.004      18.167       0.003      17.472       0.001 
   2618.780    1110.640      308.8786496       60.1441578      19.543       0.003      18.370       0.001      17.571       0.002 
   3769.270    1428.280      308.9003116       60.1366832      21.681       0.009      19.446       0.002      17.737       0.001 
   3100.040    1748.180      308.8840191       60.1357932      21.120       0.007      19.109       0.001      17.770       0.001 
   1857.640    2621.250      308.8517352       60.1312374      22.668       0.014      20.323       0.003      18.345       0.003 
   2433.140    2431.620      308.8651184       60.1311190      20.222       0.005      18.929       0.001      18.045       0.002 
   4132.260    1617.760      308.9064904       60.1333978      19.836       0.004      18.772       0.001      17.987       0.001 
   4328.820    2352.720      308.9052053       60.1250557      22.612       0.013      20.247       0.002      18.433       0.002 
   3568.280    1988.670      308.8920199       60.1315969      20.094       0.005      18.942       0.001      18.118       0.001 
   3011.070    2403.020      308.8773744       60.1293190      21.326       0.007      19.532       0.002      18.371       0.002 
   2398.170    1180.500      308.8735381       60.1442332      20.602       0.004      19.233       0.001      18.285       0.001 
   2482.050    2155.630      308.8681556       60.1338066      22.530       0.011      20.268       0.002      18.665       0.002 
   2148.180    3343.460      308.8525159       60.1226864      21.857       0.012      19.961       0.004      18.590       0.003 
   1719.470    1181.060      308.8593797       60.1466894      21.843       0.007      20.159       0.003      19.019       0.003 
   1470.980    3302.990      308.8386960       60.1255610      21.629       0.010      20.002       0.003      18.886       0.003 
   1539.760    2612.350      308.8451729       60.1324820      20.567       0.005      19.573       0.002      18.804       0.002 
   3067.610    1800.690      308.8829589       60.1353659      24.290       0.045      21.841       0.005      19.615       0.003 
   2748.540    1531.810      308.8782739       60.1393150      23.856       0.020      21.367       0.004      19.315       0.003 
   3021.660    3269.030      308.8712634       60.1202911      23.870       0.025      21.425       0.004      19.348       0.003 
   1696.370    2513.620      308.8491593       60.1329394      23.538       0.025      21.115       0.003      19.347       0.003 
   3373.440    4868.450      308.8669058       60.1024120      20.221       0.003      19.098       0.001      18.308       0.001 
   2783.430    2045.980      308.8752403       60.1338513      24.912       0.051      22.238       0.005      19.694       0.003 
   1854.600    3680.410      308.8439367       60.1202525      24.420       0.031      22.044       0.007      19.721       0.004 
   2630.650    4442.710      308.8545420       60.1095254      20.241       0.004      19.203       0.001      18.392       0.002 
   1819.110    2927.270      308.8486966       60.1282001      21.535       0.006      20.164       0.002      19.203       0.002 
   3017.210    4362.980      308.8631775       60.1089513      21.078       0.007      19.448       0.002      18.381       0.002 
   4225.300    2220.170      308.9040185       60.1268076      24.517       0.041      21.965       0.005      19.801       0.004 
   3555.910    1054.780      308.8985985       60.1413348      24.183       0.028      21.774       0.007      19.798       0.005 
   3061.290    3983.970      308.8668646       60.1127259      22.138       0.009      19.912       0.002      18.182       0.001 
    939.730    1436.150      308.8412518       60.1468677      26.881       0.181      23.370       0.019      21.043       0.013 
   4766.600    2763.320      308.9113206       60.1192034      21.317       0.010      19.638       0.002      18.529       0.002 
   3211.570    1135.530      308.8908280       60.1417473      23.967       0.021      21.595       0.004      19.778       0.003 
   3152.950    3248.940      308.8741462       60.1200233      22.088       0.009      20.491       0.003      19.405       0.002 
   2613.490    2624.390      308.8674687       60.1284637      25.311       0.060      22.667       0.009      20.114       0.006 
   3096.590    4196.810      308.8660450       60.1103884      21.073       0.008      19.638       0.002      18.626       0.002 
   2360.900    1097.810      308.8733658       60.1452268      26.110       0.092      23.173       0.009      20.331       0.005 
   3666.820    2438.220      308.8907840       60.1265730      22.872       0.013      20.937       0.003      19.651       0.003 
   4089.960    2180.460      308.9014888       60.1277114      24.066       0.027      21.656       0.004      19.861       0.003 
   2316.180    3739.580      308.8531241       60.1179651      22.117       0.009      20.611       0.003      19.573       0.002 
   1624.090    2205.340      308.8499044       60.1364018      25.404       0.068      22.839       0.023      20.364       0.012 
   4020.130    3871.440      308.8876620       60.1104141      21.623       0.008      19.831       0.002      18.684       0.002 
   3592.230    2540.030      308.8884847       60.1257872      26.179       0.111      23.145       0.013      20.362       0.009 
   3921.960    1015.520      308.9065175       60.1404123      21.442       0.008      20.399       0.003      19.586       0.002 
   2501.470    3811.060      308.8564632       60.1165512      21.505       0.006      20.364       0.003      19.510       0.002 
   3078.000    4366.550      308.8644178       60.1086938      21.664       0.009      19.860       0.002      18.676       0.002 
   3192.550    4739.030      308.8640833       60.1044116      22.169       0.018      19.971       0.004      18.483       0.006 
   1664.640    2571.660      308.8480738       60.1324518      25.512       0.066      22.769       0.008      20.418       0.005 
   4270.560    4584.970      308.8876611       60.1020987      23.096       0.013      20.595       0.003      18.111       0.002 
   2455.760    1697.880      308.8709547       60.1386536      27.323       0.210      24.017       0.024      20.980       0.014 
   1262.030    3046.320      308.8362138       60.1289828      23.267       0.019      21.379       0.004      20.129       0.003 
   1548.600    4635.680      308.8305886       60.1114432      21.241       0.006      19.888       0.002      18.964       0.003 
   2954.890    2753.590      308.8736399       60.1258839      24.566       0.042      22.194       0.006      20.223       0.004 
   4960.250    4405.510      308.9033357       60.1014563      21.506       0.006      19.929       0.002      18.945       0.002 
   3722.580    2465.810      308.8917442       60.1260842      24.852       0.038      22.482       0.007      20.445       0.005 
   3448.980    1354.960      308.8941714       60.1386076      22.025       0.011      20.808       0.003      19.927       0.003 
   4151.280    2465.690      308.9006788       60.1245283      22.198       0.012      20.973       0.008      20.132       0.003 
   3645.640    2792.260      308.8877525       60.1229752      26.214       0.108      23.449       0.028      20.940       0.016 
   1398.060    2642.330      308.8419996       60.1326843      25.401       0.057      22.840       0.010      20.637       0.006 
   2649.350    1105.990      308.8793211       60.1440951      22.635       0.010      21.116       0.003      20.106       0.004 
   2144.630    3349.560      308.8523974       60.1226360      25.252       0.061      22.680       0.011      20.671       0.010 
   1044.290    1350.850      308.8440560       60.1473744      27.292       0.203      24.015       0.017      21.279       0.008 
   2454.660     750.700      308.8778608       60.1484896      24.435       0.025      22.150       0.005      20.508       0.004 
   3365.890    1660.770      308.8902008       60.1357353      22.143       0.010      21.038       0.003      20.232       0.003 
   1502.250    1865.820      308.8498445       60.1403683      26.180       0.088      23.576       0.010      20.967       0.005 
   3878.250    1504.700      308.9020238       60.1354941      23.312       0.017      21.508       0.004      20.321       0.004 
   2102.530     740.040      308.8705946       60.1498781      25.972       0.069      22.752       0.009      21.036       0.007 
   4202.040    1648.610      308.9077189       60.1328240      24.604       0.034      22.311       0.005      20.592       0.004 
   4455.880    1923.790      308.9109939       60.1290456      26.051       0.078      23.355       0.010      20.896       0.005 
   1299.580    3393.050      308.8344657       60.1252469      23.608       0.025      21.218       0.005      18.905       0.004 
   2941.040    1934.660      308.8793402       60.1344348      22.099       0.011      21.060       0.004      20.260       0.004 
   1524.570    1415.130      308.8536037       60.1449662      25.314       0.046      22.770       0.008      20.746       0.005 
   2483.180    4274.050      308.8527011       60.1118110      23.032       0.012      20.797       0.003      19.222       0.002 
   1262.900    1178.520      308.8498753       60.1483712      25.612       0.067      23.060       0.012      20.995       0.008 
   2750.320     984.550      308.8823153       60.1449891      25.747       0.072      23.217       0.009      20.946       0.007 
   1139.210    1325.270      308.8462228       60.1472960      25.713       0.059      23.770       0.015      21.614       0.010 
   1479.390    4340.960      308.8312964       60.1147538      22.769       0.011      20.674       0.003      19.289       0.003 
   2249.580    3227.020      308.8554799       60.1235276      24.289       0.066      23.064       0.016      21.193       0.009 
   1949.740    3043.080      308.8505738       60.1265242      24.846       0.051      22.532       0.005      20.966       0.006 
   1153.620    1615.280      308.8444043       60.1442329      27.310       0.227      24.236       0.021      21.754       0.011 
   1695.490     877.800      308.8610970       60.1499246      26.020       0.069      23.416       0.013      21.408       0.008 
   3783.050    1332.580      308.9012996       60.1376264      26.412       0.094      23.226       0.013      21.426       0.007 
   2289.590    3838.320      308.8518489       60.1170364      24.937       0.050      22.651       0.007      21.081       0.006 
   3967.300    1262.220      308.9056558       60.1376872      25.010       0.065      22.661       0.007      21.181       0.006 
   4612.430    4140.960      308.8980276       60.1054656      22.896       0.011      20.864       0.003      19.554       0.003 
    995.040    2557.250      308.8342176       60.1350278      26.849       0.140      24.094       0.016      21.544       0.011 
   2126.430    2494.290      308.8582664       60.1315808      25.509       0.071      23.087       0.019      21.324       0.010 
   3591.710    3032.060      308.8848747       60.1206820      26.507       0.113      23.815       0.011      21.344       0.006 
   2630.530    3141.370      308.8640453       60.1230352      25.044       0.047      22.707       0.007      21.203       0.006 
   3661.320    1662.520      308.8963464       60.1346442      26.541       0.102      23.800       0.011      21.434       0.006 
   2255.730    3366.160      308.8545917       60.1220609      25.705       0.083      24.513       0.024      22.041       0.011 
   2807.570    1910.640      308.8767334       60.1351685      24.837       0.039      23.173       0.010      21.480       0.006 
   2398.540    2320.880      308.8652066       60.1323941      22.606       0.016      21.755       0.005      20.981       0.006 
   4081.550    1578.240      308.9057229       60.1339922      25.680       0.066      23.226       0.011      21.361       0.008 
   3113.330    4495.190      308.8642141       60.1072302      23.385       0.022      21.293       0.005      19.886       0.006 
   3001.680    2204.550      308.8786302       60.1314132      26.630       0.131      23.932       0.016      21.640       0.011 
   3825.580    1374.840      308.9018768       60.1370333      26.728       0.126      23.611       0.011      21.740       0.008 
   4715.320    4163.590      308.9000048       60.1048569      22.705       0.010      21.064       0.004      19.956       0.004 
   1260.860    3142.270      308.8354890       60.1279909      27.880       0.263      24.852       0.021      21.945       0.011 
   2484.290    3851.430      308.8558104       60.1161944      23.562       0.020      22.048       0.005      21.049       0.005 
   4073.010    1586.350      308.9054855       60.1339391      26.065       0.083      23.434       0.012      21.481       0.008 
   4407.130    1242.630      308.9149675       60.1362920      24.092       0.026      21.622       0.006      19.599       0.003 
   2372.420    2673.150      308.8620873       60.1288320      27.360       0.205      24.106       0.017      22.064       0.010 
   1974.580    2507.910      308.8550012       60.1319900      26.555       0.139      24.000       0.020      21.840       0.009 
   1566.000    3782.220      308.8371785       60.1202412      23.903       0.022      21.569       0.004      19.991       0.003 
   1399.880    2465.980      308.8433255       60.1345085      24.063       0.029      22.351       0.006      21.250       0.006 
   1325.360    1675.910      308.8475432       60.1429810      26.103       0.092      23.441       0.019      21.574       0.015 
   2292.490    2553.670      308.8612943       60.1303622      22.245       0.011      21.592       0.005      21.032       0.006 
   2214.490    2496.720      308.8600845       60.1312363      26.212       0.113      23.601       0.013      21.736       0.008 
   2882.040    2093.700      308.8769470       60.1329980      26.856       0.170      24.139       0.016      21.848       0.009 
   2756.200    1698.940      308.8772110       60.1375524      23.909       0.040      22.487       0.023      21.452       0.032 
   2253.650    3178.500      308.8559192       60.1240166      26.336       0.092      23.827       0.013      21.964       0.009 
   2259.790    3186.800      308.8559865       60.1239081      26.757       0.149      24.115       0.016      22.052       0.010 
   1465.620    2710.670      308.8429091       60.1317299      26.852       0.214      23.977       0.015      21.919       0.016 
   4467.030    2656.770      308.9058593       60.1213979      23.916       0.025      21.627       0.004      20.078       0.003 
   4244.420    2298.420      308.9038441       60.1259260      24.028       0.032      22.312       0.011      21.320       0.009 
   2613.350     752.290      308.8811587       60.1478971      26.333       0.094      23.619       0.012      21.639       0.007 
   1897.140    2491.970      308.8535032       60.1324363      26.798       0.176      23.721       0.013      21.945       0.009 
   3569.260    2263.900      308.8900263       60.1287367      27.261       0.178      24.429       0.019      21.983       0.011 
   4245.790    2297.110      308.9038822       60.1259346      23.778       0.025      22.230       0.007      21.165       0.007 
   2410.030    2933.790      308.8609665       60.1259899      27.144       0.198      24.389       0.018      22.267       0.013 
   1437.370    1582.220      308.8505638       60.1435477      24.417       0.068      23.339       0.023      21.684       0.010 
   3072.300    3971.050      308.8671883       60.1128200      24.706       0.036      22.241       0.005      19.822       0.004 
   3060.110    2455.060      308.8780159       60.1286008      26.087       0.093      23.576       0.011      21.731       0.008 
   2724.310    1058.410      308.8812324       60.1443169      27.091       0.183      24.290       0.019      22.024       0.011 
   1303.720    3267.090      308.8354714       60.1265397      25.586       0.070      23.040       0.007      21.264       0.006 
   4855.000    4720.870      308.8988375       60.0985656      22.781       0.011      21.339       0.004      20.379       0.004 
   2676.050    1218.710      308.8790531       60.1428281      26.219       0.080      23.845       0.012      21.802       0.007 
   3033.400    3331.270      308.8710532       60.1196025      26.295       0.097      23.766       0.013      21.621       0.006 
   3073.510    1361.210      308.8862977       60.1399062      24.194       0.023      22.525       0.006      21.426       0.006 
    987.060    1824.800      308.8393999       60.1426612      27.391       0.211      24.447       0.016      22.249       0.010 
   3916.890    3709.480      308.8866957       60.1124700      22.703       0.011      21.447       0.004      20.581       0.004 
   2050.360    4651.420      308.8409286       60.1094620      22.372       0.009      21.442       0.004      20.668       0.005 
   3957.170    1831.990      308.9012724       60.1318105      25.877       0.071      23.447       0.009      21.669       0.007 
   3260.710    2573.750      308.8813288       60.1266407      26.078       0.091      23.565       0.014      21.968       0.011 
   4871.150    2724.410      308.9137836       60.1192272      23.544       0.019      21.677       0.004      20.415       0.004 
   1091.160    1356.450      308.8449927       60.1471464      27.560       0.238      24.469       0.020      22.478       0.015 
   2361.220    4525.340      308.8483255       60.1096444      24.003       0.022      21.823       0.005      20.320       0.004 
   3420.330    2199.180      308.8873957       60.1299492      27.280       0.219      24.552       0.023      22.134       0.010 
   1350.300    3428.460      308.8352645       60.1246955      24.176       0.026      21.889       0.007      20.318       0.006 
   2417.720    3740.370      308.8552343       60.1175887      27.375       0.234      24.286       0.017      22.129       0.010 
   4617.370    3026.970      308.9062816       60.1170095      25.286       0.087      22.108       0.005      20.492       0.004 
   1151.940    2077.450      308.8409931       60.1394407      26.373       0.102      23.911       0.013      22.149       0.009 
   1874.250    2276.490      308.8546005       60.1347563      26.678       0.117      24.136       0.016      22.040       0.008 
   1074.920    1806.460      308.8413663       60.1425333      27.400       0.238      24.598       0.019      22.443       0.010 
   2117.420    2002.030      308.8616764       60.1367237      27.397       0.226      24.312       0.018      22.270       0.010 
   2278.540    1980.010      308.8651967       60.1363679      26.310       0.092      23.820       0.012      22.145       0.009 
   2382.580    2823.340      308.8612015       60.1272360      27.432       0.264      24.446       0.018      22.177       0.010 
   4244.700    4705.580      308.8862409       60.1009407      24.796       0.030      22.240       0.006      20.068       0.004 
   2465.520    2403.980      308.8659954       60.1312885      27.282       0.270      24.251       0.017      22.344       0.010 
   1141.620    1285.340      308.8465648       60.1477018      22.830       0.013      21.999       0.006      21.302       0.008 
   2007.520    1416.010      308.8636692       60.1432057      27.703       0.265      24.517       0.018      22.220       0.009 
   3797.750    1414.010      308.9010098       60.1367278      26.482       0.099      23.654       0.012      22.098       0.010 
   4232.550    2037.280      308.9055086       60.1286793      27.038       0.161      24.270       0.038      22.574       0.040 
   3502.860    1665.560      308.8930210       60.1351881      26.396       0.090      23.904       0.012      22.033       0.010 
   1100.400    2257.730      308.8386016       60.1377558      27.469       0.219      24.526       0.019      22.430       0.010 
   1900.070    2636.190      308.8525106       60.1309284      23.027       0.014      22.198       0.005      21.555       0.006 
   2580.770     818.290      308.8799963       60.1473303      26.160       0.081      23.583       0.011      21.950       0.009 
   4278.370    3136.630      308.8984166       60.1171030      24.360       0.039      22.099       0.006      20.622       0.007 
   2086.700    2035.850      308.8607887       60.1364840      26.877       0.184      24.368       0.016      22.463       0.011 
   2240.860    1669.170      308.8666838       60.1397313      24.273       0.051      23.183       0.014      21.955       0.011 
   2095.920    1861.860      308.8622528       60.1382568      22.846       0.014      22.138       0.006      21.528       0.006 
   2480.250    3421.280      308.8588682       60.1206745      26.712       0.132      24.115       0.019      22.339       0.012 
   4711.660    4378.310      308.8983581       60.1026417      23.845       0.020      21.816       0.005      20.501       0.005 
   1161.460    1707.650      308.8438930       60.1432455      24.741       0.055      22.987       0.010      21.856       0.010 
   2251.850    2055.790      308.8640863       60.1356780      27.405       0.196      24.133       0.014      22.411       0.011 
   2192.450    2561.230      308.8591536       60.1306465      24.667       0.043      22.927       0.008      21.803       0.009 
   1433.550    2893.510      308.8409053       60.1299479      27.171       0.173      24.680       0.022      22.532       0.012 
   1054.690    1801.880      308.8409778       60.1426541      26.939       0.173      24.272       0.016      22.425       0.010 
   4923.520    3568.680      308.9086939       60.1102748      24.673       0.033      22.300       0.006      20.656       0.004 
   2607.480     751.620      308.8810412       60.1479254      27.232       0.174      24.438       0.019      22.320       0.012 
   4130.890    1620.010      308.9064454       60.1333794      23.530       0.108      22.575       0.059      22.126       0.068 
   4935.770    3360.090      308.9104758       60.1123951      22.989       0.013      21.912       0.005      21.110       0.007 
   2932.350    3243.370      308.8695899       60.1208815      24.688       0.040      23.081       0.009      21.993       0.009 
   3078.920    1080.920      308.8884620       60.1427958      27.657       0.229      24.481       0.017      22.515       0.011 
   1344.780    1919.420      308.8461690       60.1403826      24.613       0.054      23.630       0.018      22.288       0.013 
   3314.920    1952.810      308.8870012       60.1328891      27.146       0.163      24.119       0.016      22.104       0.009 
   3210.420    3840.890      308.8710171       60.1136701      24.876       0.034      22.440       0.007      20.703       0.006 
   2296.180    3310.990      308.8558377       60.1224869      27.377       0.248      24.164       0.016      22.534       0.014 
   2309.400    1671.890      308.8680931       60.1394544      27.442       0.206      24.421       0.017      22.591       0.012 
   2097.290    1450.770      308.8652870       60.1425193      26.889       0.166      24.492       0.020      22.551       0.012 
   3428.070     978.380      308.8964926       60.1425921      24.658       0.053      23.307       0.032      22.282       0.037 
   1816.960    2525.640      308.8515856       60.1323774      26.907       0.171      23.945       0.013      22.439       0.014 
    980.560    2015.110      308.8378743       60.1407089      27.110       0.183      24.664       0.031      23.061       0.029 
   1161.220    1865.250      308.8427367       60.1416102      27.241       0.197      24.509       0.017      22.703       0.016 
   2220.360    3260.590      308.8546257       60.1232851      27.330       0.209      24.197       0.017      22.550       0.015 
   2250.510     976.770      308.8719491       60.1468838      23.440       0.039      22.796       0.028      22.115       0.034 
   3639.550    3013.140      308.8860100       60.1207047      27.649       0.253      24.226       0.016      22.638       0.013 
