         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6031       53.1455927      -27.8538634        0.4606711    sersic       1.103        1.3500000       -4.9660000        0.4949000   comment 
       6032       53.1508237      -27.8538643        0.3788230    sersic       5.232       11.5530000       15.1160000        0.5512000   comment 
       6035       53.0915677      -27.8538370        0.8097920    sersic       0.780        1.5650000       58.0420000        0.5949000   comment 
       6040       53.1904785      -27.8537648        3.6018154    sersic       0.515        5.0400000      -11.8370000        0.7380000   comment 
       6044       53.0643366      -27.8537228        0.4299908    sersic       5.569        0.3860000      -70.4220000        0.0499000   comment 
       6048       53.1620676      -27.8537863        1.6547660    sersic       0.954        1.3250000      -46.1340000        0.4436000   comment 
       6049       53.1036172      -27.8537902        1.7076474    sersic       1.407        2.2940000        6.6690000        0.3761000   comment 
       6051       53.1536216      -27.8536430        0.7192803    sersic       1.289        1.3570000      -31.4710000        0.4597000   comment 
       6054       53.1409049      -27.8536447        1.1035179    sersic       1.166        2.6130000      -58.2460000        0.2794000   comment 
       6056       53.0750457      -27.8535748        1.1261620    sersic       1.117        2.9320000       76.1780000        0.2484000   comment 
       6057       53.0990234      -27.8535584        0.9370005    sersic       0.777        1.6860000       44.4530000        0.4477000   comment 
       6058       53.1286299      -27.8535537        0.5148305    sersic       2.244        0.8400000      -85.9670000        0.0749000   comment 
       6060       53.0747109      -27.8535325        0.8714424    sersic       5.886        2.7270000      -21.6800000        0.2327000   comment 
       6062       53.0786352      -27.8535735        0.9038156    sersic       1.084        0.5580000      -60.7100000        0.5398000   comment 
       6063       53.1196140      -27.8535066        1.0770454    sersic       0.985        2.4950000       75.3010000        0.3992000   comment 
       6064       53.0857092      -27.8534986        0.5092041    sersic       5.067        1.2910000       67.4620000        0.2245000   comment 
       6065       53.0631493      -27.8536829        2.7687477    sersic       3.118        0.7910000      -83.2430000        0.6909000   comment 
       6066       53.1508181      -27.8534771        0.6708128    sersic       1.460        5.7900000       56.4590000        0.2988000   comment 
       6067       53.0581499      -27.8535418        1.5480417    sersic       1.756        1.2390000      -14.5670000        0.8033000   comment 
       6068       53.0615753      -27.8534570        1.0191761    sersic       1.363        1.3700000       36.7310000        0.6206000   comment 
       6070       53.1050784      -27.8534426        0.3248495    sersic       3.786        1.6300000      -66.9670000        0.0591000   comment 
       6071       53.0946379      -27.8538123        4.9143580    sersic       1.342        2.9330000      -57.1670000        0.3208000   comment 
       6072       53.0703635      -27.8534171        1.0650400    sersic       0.610        0.9090000      -86.4470000        0.5019000   comment 
       6073       53.1463385      -27.8534022        0.5259428    sersic       0.356        3.0360000       13.8080000        0.4002000   comment 
       6074       53.1728479      -27.8533923        1.4140563    sersic       0.419        2.3310000       51.6630000        0.5246000   comment 
       6075       53.1397462      -27.8533928        0.7212122    sersic       0.663        2.8690000       29.7650000        0.2237000   comment 
       6076       53.1854994      -27.8538043        7.7444389    sersic       0.758        4.1840000        4.0690000        0.3231000   comment 
       6078       53.1926222      -27.8533076        1.4371944    sersic       0.979        1.5990000       38.3530000        0.3787000   comment 
       6081       53.1563165      -27.8533218        0.9296988    sersic       1.323        2.8040000       74.9670000        0.3269000   comment 
       6083       53.0883639      -27.8533122        0.3985967    sersic       0.527        0.7470000      -47.1110000        0.5656000   comment 
       6084       53.0975822      -27.8533074        0.6808201    sersic       0.352        1.1900000       40.6130000        0.8192000   comment 
       6087       53.1162190      -27.8532456        0.2962687    sersic       4.013        1.4210000      -72.9020000        0.0753000   comment 
       6090       53.1474166      -27.8532374        0.6398118    sersic       1.543        1.5330000      -78.5560000        0.5906000   comment 
       6092       53.1246296      -27.8534417        1.7978969    sersic       0.542        1.1150000      -15.2680000        0.7652000   comment 
       6096       53.0919356      -27.8533490        2.4204590    sersic       1.157        1.4250000       71.9290000        0.3790000   comment 
       6097       53.1384543      -27.8531761        1.1352995    sersic       0.598        1.4160000      -66.4620000        0.4849000   comment 
       6099       53.1883693      -27.8535323       22.2401785    sersic       1.944        1.1820000       66.8020000        0.8184000   comment 
       6100       53.1238172      -27.8531308        0.8967770    sersic       2.097        1.4940000      -75.7940000        0.4390000   comment 
       6101       53.1247461      -27.8536848        4.2760023    sersic       0.762        1.7660000       17.0460000        0.8936000   comment 
       6102       53.1638038      -27.8532638        1.4908315    sersic       0.513        1.0300000       52.7870000        0.2787000   comment 
       6103       53.0930898      -27.8531882        1.4081890    sersic       1.083        0.9870000        3.5820000        0.5540000   comment 
       6104       53.0768496      -27.8530978        0.7793008    sersic       1.351        1.3900000       75.2750000        0.6049000   comment 
       6105       53.0817046      -27.8533396        3.1613887    sersic       1.177        1.3810000      -61.1380000        0.5675000   comment 
       6106       53.1945063      -27.8530395        1.7168991    sersic       0.540        3.7320000       13.2450000        0.3260000   comment 
       6107       53.1443636      -27.8530243        0.2899205    sersic       2.846        0.1640000       48.2290000        0.0464000   comment 
       6108       53.1823318      -27.8532755        1.8438192    sersic       1.842        2.6250000        8.5650000        0.3781000   comment 
       6110       53.1298348      -27.8531461        1.8900115    sersic       1.315        3.0630000      -49.0470000        0.9092000   comment 
       6111       53.0882230      -27.8529884        0.3705568    sersic       1.876        0.4150000      -10.1490000        0.4509000   comment 
       6113       53.0892482      -27.8529514        1.0114704    sersic       0.762        1.3720000      -65.2700000        0.2829000   comment 
       6115       53.1549711      -27.8530594        1.6163428    sersic       1.054        2.0040000      -72.9980000        0.4417000   comment 
       6117       53.1369615      -27.8530932        2.0850718    sersic       0.894        0.8960000      -58.2240000        0.7279000   comment 
       6118       53.0823342      -27.8536062        5.4525959    sersic       1.592        1.4710000       -4.3850000        0.3659000   comment 
       6119       53.1010437      -27.8536256        6.5062294    sersic       1.718        2.2120000        2.1950000        0.1979000   comment 
       6121       53.1160605      -27.8528783        0.4460981    sersic       0.531        1.4910000      -17.8850000        0.0309000   comment 
       6125       53.1726616      -27.8529803        3.6880469    sersic       0.887        1.9940000      -80.7350000        0.4396000   comment 
       6127       53.1053345      -27.8529493        1.5870643    sersic       0.863        1.2230000      -13.2230000        0.9982000   comment 
       6128       53.1421260      -27.8531798        9.8930419    sersic       1.005        1.4240000      -81.1350000        0.7735000   comment 
       6130       53.0856944      -27.8529694        2.8628800    sersic       2.208        0.9300000      -33.5350000        0.5568000   comment 
       6131       53.0916055      -27.8533421        3.1825740    sersic       0.750        5.7280000      -69.5520000        0.6375000   comment 
       6132       53.0754174      -27.8527828        0.5944769    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        1.3388403    sersic       5.282        1.5550000      -26.4160000        0.7804000   comment 
       6136       53.0853648      -27.8527300        0.8924353    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
       6137       53.0885593      -27.8527054        0.5198306    sersic       0.596        1.4620000      -83.0040000        0.4599000   comment 
       6139       53.1716236      -27.8532411        7.9050547    sersic       0.758        4.4980000      -50.7170000        0.2798000   comment 
       6141       53.0943066      -27.8534951       28.9775860    sersic       0.831        2.6680000      -62.6780000        0.3574000   comment 
       6143       53.0817636      -27.8526661        0.3508490    sersic       2.038        0.6220000       23.0570000        0.0179000   comment 
       6144       53.1065407      -27.8528296        1.5942527    sersic       0.842        3.8910000       63.4190000        0.1882000   comment 
       6146       53.0899818      -27.8528876        2.9897885    sersic       0.790        1.0040000       14.5010000        0.6313000   comment 
       6147       53.1951930      -27.8526120        1.4284093    sersic       2.109        0.8140000       73.9360000        0.4449000   comment 
       6148       53.1177092      -27.8527647        2.0690700    sersic       2.508        1.3560000       76.2900000        0.6054000   comment 
       6149       53.1530891      -27.8526873        1.2811701    sersic       1.337        0.9430000       36.4020000        0.0392000   comment 
       6150       53.0677125      -27.8530609        3.6010580    sersic       0.910        2.7850000      -21.2490000        0.4751000   comment 
       6154       53.1398420      -27.8525595        0.5344590    sersic       6.899        1.0050000       60.7450000        0.0636000   comment 
       6155       53.0965885      -27.8525584        0.4017763    sersic       2.388        0.9330000       31.5210000        0.0432000   comment 
       6156       53.1748836      -27.8525489        0.7246226    sersic       0.879        0.1730000      -33.8290000        0.1001000   comment 
       6159       53.1646920      -27.8533358       25.7420586    sersic       0.825        3.4660000       87.1170000        0.5623000   comment 
       6161       53.0907102      -27.8524938        0.3249118    sersic       0.305        0.1640000       47.7810000        0.0833000   comment 
       6162       53.1459183      -27.8524842        0.3339742    sersic       2.117        1.9360000      -69.1810000        0.1771000   comment 
       6163       53.1642518      -27.8535196       22.9178987    sersic       1.164        4.6260000      -15.4330000        0.7952000   comment 
       6165       53.1184128      -27.8524516        0.5904484    sersic       1.501        1.6570000       26.9980000        0.3718000   comment 
       6166       53.0882295      -27.8524372        0.3444407    sersic       0.667        2.1540000      -54.9160000        0.7997000   comment 
       6167       53.0951491      -27.8533074        4.7557421    sersic       1.484        4.3900000        5.7080000        0.3624000   comment 
       6168       53.0896357      -27.8524974        1.3205724    sersic       1.984        2.3430000        8.8820000        0.4822000   comment 
       6169       53.1840095      -27.8524438        2.5602639    sersic       0.378        1.7560000       56.4100000        0.3666000   comment 
