         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6031       53.1455927      -27.8538634        0.5885019    sersic       1.103        1.3500000       -4.9660000        0.4949000   comment 
       6032       53.1508237      -27.8538643        0.2111556    sersic       0.200        1.3550000        4.1760000        0.6093000   comment 
       6035       53.0915677      -27.8538370        0.1820331    sersic       0.726        1.5280000       41.3360000        0.6214000   comment 
       6040       53.1904785      -27.8537648        2.2558020    sersic       1.611        5.7870000       58.9160000        0.5259000   comment 
       6044       53.0643366      -27.8537228        0.3499834    sersic       5.569        0.3860000      -70.4220000        0.0499000   comment 
       6048       53.1620676      -27.8537863        1.7715446    sersic       0.954        1.3250000      -46.1340000        0.4436000   comment 
       6049       53.1036172      -27.8537902        1.0155455    sersic       1.407        2.2940000        6.6690000        0.3761000   comment 
       6051       53.1536216      -27.8536430        0.6932035    sersic       1.654        1.7140000      -31.2440000        0.4474000   comment 
       6054       53.1409049      -27.8536447        0.7553593    sersic       1.104        2.2930000      -53.3670000        0.3447000   comment 
       6056       53.0750457      -27.8535748        0.6106474    sersic       6.723        5.1670000       73.8760000        0.0497000   comment 
       6057       53.0990234      -27.8535584        0.8121317    sersic       0.200        1.2820000       49.0450000        0.4454000   comment 
       6058       53.1286299      -27.8535537        0.3005924    sersic       2.809        0.7110000       89.3410000        0.0351000   comment 
       6060       53.0747109      -27.8535325        0.9946781    sersic       5.886        2.7270000      -21.6800000        0.2327000   comment 
       6062       53.0786352      -27.8535735        0.4817222    sersic       0.821        0.6210000      -40.5650000        0.6408000   comment 
       6063       53.1196140      -27.8535066        0.9877769    sersic       0.985        2.4950000       75.3010000        0.3992000   comment 
       6064       53.0857092      -27.8534986        0.6372421    sersic       5.067        1.2910000       67.4620000        0.2245000   comment 
       6065       53.0631493      -27.8536829        1.0907143    sersic       3.163        0.9580000      -83.2040000        0.6374000   comment 
       6066       53.1508181      -27.8534771        0.3438033    sersic       0.200        2.3600000       50.7880000        0.5901000   comment 
       6067       53.0581499      -27.8535418        1.6015365    sersic       1.543        0.8730000       14.2650000        0.9998000   comment 
       6068       53.0615753      -27.8534570        0.8296673    sersic       0.789        1.5600000       55.3450000        0.6155000   comment 
       6070       53.1050784      -27.8534426        0.3517757    sersic       0.200        1.3120000       59.9740000        0.2655000   comment 
       6071       53.0946379      -27.8538123        3.2870373    sersic       2.566        4.2840000      -54.1250000        0.3417000   comment 
       6072       53.0703635      -27.8534171        0.5933981    sersic       7.769        0.8990000        2.5770000        0.0073000   comment 
       6073       53.1463385      -27.8534022        0.3657845    sersic       3.638        2.9580000       -8.1710000        0.0574000   comment 
       6074       53.1728479      -27.8533923        0.8866539    sersic       0.419        2.3310000       51.6630000        0.5246000   comment 
       6075       53.1397462      -27.8533928        0.4370164    sersic       1.811        3.0050000       25.0080000        0.1218000   comment 
       6076       53.1854994      -27.8538043        4.4885106    sersic       0.200        4.2160000        9.3610000        0.2852000   comment 
       6078       53.1926222      -27.8533076        0.7371184    sersic       2.561        3.1650000       85.8780000        0.8832000   comment 
       6079       53.1123927      -27.8533346        0.5205322    sersic       0.200        3.2520000       82.0470000        0.2917000   comment 
       6081       53.1563165      -27.8533218        0.8262080    sersic       1.323        2.8040000       74.9670000        0.3269000   comment 
       6083       53.0883639      -27.8533122        0.3435321    sersic       2.641        0.4990000       66.8710000        0.9765000   comment 
       6084       53.0975822      -27.8533074        0.4856488    sersic       8.000        2.1350000      -80.4110000        0.2450000   comment 
       6087       53.1162190      -27.8532456        0.3265896    sersic       0.200        1.2650000      -74.3390000        0.1212000   comment 
       6090       53.1474166      -27.8532374        0.4910905    sersic       1.543        1.5330000      -78.5560000        0.5906000   comment 
       6092       53.1246296      -27.8534417        1.5802395    sersic       1.343        1.3170000       19.5010000        0.6735000   comment 
       6096       53.0919356      -27.8533490        1.4137745    sersic       7.966        0.9240000       68.0620000        0.0497000   comment 
       6097       53.1384543      -27.8531761        0.8996625    sersic       0.643        1.1930000      -73.0810000        0.5413000   comment 
       6099       53.1883693      -27.8535323       11.7635657    sersic       2.622        1.5720000       67.6020000        0.7674000   comment 
       6100       53.1238172      -27.8531308        0.4907995    sersic       1.417        1.3510000      -81.3170000        0.4948000   comment 
       6101       53.1247461      -27.8536848        4.5167266    sersic       0.829        2.1270000       40.5680000        0.5775000   comment 
       6102       53.1638038      -27.8532638        1.4782893    sersic       0.513        1.0300000       52.7870000        0.2787000   comment 
       6103       53.0930898      -27.8531882        0.9150840    sersic       1.977        1.2220000        1.0040000        0.7524000   comment 
       6104       53.0768496      -27.8530978        0.8282921    sersic       1.351        1.3900000       75.2750000        0.6049000   comment 
       6105       53.0817046      -27.8533396        2.0960444    sersic       0.974        1.3840000      -76.8240000        0.4995000   comment 
       6106       53.1945063      -27.8530395        1.1347348    sersic       0.200        1.8500000       25.8230000        0.8221000   comment 
       6107       53.1443636      -27.8530243        0.3010809    sersic       2.087        0.7310000       19.5750000        0.0422000   comment 
       6108       53.1823318      -27.8532755        0.3394631    sersic       3.136        4.1430000       -9.6670000        0.2557000   comment 
       6110       53.1298348      -27.8531461        1.7654746    sersic       1.767        5.4830000      -21.7600000        0.7564000   comment 
       6111       53.0882230      -27.8529884        0.3135870    sersic       1.876        0.4150000      -10.1490000        0.4509000   comment 
       6113       53.0892482      -27.8529514        1.0656411    sersic       1.047        1.0740000      -60.3880000        0.7642000   comment 
       6115       53.1549711      -27.8530594        1.0033918    sersic       0.430        1.3810000      -74.9690000        0.6233000   comment 
       6117       53.1369615      -27.8530932        1.6841364    sersic       1.486        0.9540000      -65.3180000        0.7077000   comment 
       6118       53.0823342      -27.8536062        5.0813367    sersic       1.967        1.2830000        2.7440000        0.4095000   comment 
       6119       53.1010437      -27.8536256        5.2424632    sersic       1.718        2.2120000        2.1950000        0.1979000   comment 
       6121       53.1160605      -27.8528783        0.5368940    sersic       0.531        1.4910000      -17.8850000        0.0309000   comment 
       6125       53.1726616      -27.8529803        1.8837192    sersic       0.887        1.9940000      -80.7350000        0.4396000   comment 
       6127       53.1053345      -27.8529493        1.5292308    sersic       0.704        1.5750000       56.9290000        0.5865000   comment 
       6128       53.1421260      -27.8531798        9.3534730    sersic       1.090        1.3850000      -88.4270000        0.7743000   comment 
       6130       53.0856944      -27.8529694        3.3818687    sersic       2.241        1.0180000       -1.6930000        0.6170000   comment 
       6131       53.0916055      -27.8533421        0.6603386    sersic       0.396        5.9970000      -87.7840000        0.4027000   comment 
       6132       53.0754174      -27.8527828        0.5898032    sersic       4.497        0.4910000       51.2690000        0.3825000   comment 
       6135       53.1357281      -27.8528775        0.7528912    sersic       4.455        1.4350000       38.9080000        0.8037000   comment 
       6136       53.0853648      -27.8527300        0.8430121    sersic       0.770        1.8460000       44.3030000        0.5468000   comment 
