X606           X625           X670           X680           X690           X700           Z087           Y106           J129           H158           F184           W149           
              0              0              0              0              0              0              0              0              0              0              0              0
   0.0219581603              0   0.0354315828   0.0470470831   0.0578299059   0.0678721749   0.1571159621   0.0649696303              0   0.1258783097   0.1419504409   0.2369760272
   0.2883226555   0.0219581603   0.3301501757    0.331524559   0.3324843015   0.3333440472    0.376792751   0.2371107507   0.0617467727   0.2371368314   0.2384513753   0.6863387957
   0.2890006912   0.2885505606   0.6251426921   0.6160550606   0.3325194243   0.3332371742   0.3766308469   0.4088763264   0.2000865035   0.3486705411   0.3350510203   0.6852529482
   0.5502355807   0.5498598117   0.6254178455    0.616027661   0.6070976041   0.5984914734   0.5958888831   0.5803119815   0.3385946798   0.4601083093   0.4316701953   0.6858090915
    0.551049411    0.551049411    0.684008521   0.6839473448   0.6837944327   0.5982600376   0.7144714471   0.5798587962   0.4771233857   0.6588678968   0.5377900234   0.6854881686
   0.5520636105   0.5520636105   0.6840286067   0.6839523917   0.6834902127   0.6827490578    0.714072481   0.6863387957   0.6069077822   0.6596840441   0.6363421053   0.6733257881
   0.5527853368   0.5529851802    0.683929712   0.6837961913   0.6833226863   0.6824858078   0.7135830616   0.6861137039   0.6618831451    0.661160933   0.7093988533   0.6739368643
   0.5534518694   0.5539048005   0.6839779984   0.6836905479    0.683032577   0.6820882516    0.713226322   0.6858304819   0.6622919182   0.6618017262   0.7096698355   0.6702053576
   0.6819552916    0.682548736   0.6838520869   0.6834888667   0.6826753226   0.6816886462   0.6816838743   0.6854753435   0.6626562979   0.6687208948   0.7100406467    0.661384843
    0.682548736   0.6831473842   0.6837731036   0.6831531369   0.6823346615   0.6814552293   0.6810743427   0.6850994145   0.6631417314   0.6692969157   0.7235819105   0.6624192371
   0.6830114523   0.6835181233   0.6834888667   0.6827490578   0.6819660213   0.7236080455   0.6803548225   0.6849054238   0.6580293993    0.669926767   0.7237684027    0.658112013
   0.6834188474   0.6838293532   0.6832581448   0.6824858078   0.6815484755   0.7231859969   0.6797157286   0.6858383498   0.6585005827   0.6702617849   0.7238444197   0.6594319393
   0.6836489302   0.6839451139   0.6827490578   0.6819660213   0.7237466316   0.7228565575   0.6789839184   0.6857684911   0.6589794127   0.6726782991   0.7242121787    0.654374273
   0.6839010674   0.6840286067   0.6823346615   0.6815752872   0.7233489864   0.7225899626   0.6779562164   0.6857331264   0.6594319393   0.6731997277    0.723088436   0.6556363573
   0.6839451139    0.683929712   0.6819660213   0.7237466316   0.7229685192   0.7223689251    0.677177163   0.6857577559   0.6598497562   0.6737814927   0.7222660507   0.6552385279
   0.6840136344   0.6839779984   0.6815484755   0.7233489864   0.7225899626   0.7222345553   0.6765200615   0.6855815218     0.65402454    0.674334108   0.7223519931   0.6565287624
   0.6839832124   0.6837961913   0.7236080455   0.7228565575   0.7223689251   0.7219190009    0.675861947   0.6854610914    0.654374273   0.6867293818      0.7223739   0.6574127223
   0.6839473448   0.6836905479   0.7231859969   0.7224791692   0.7221841902   0.7216110134   0.6755010425   0.6733971653   0.6549137402   0.6870299834   0.7223332874   0.6591439874
   0.6839523917   0.6834174135   0.7227029265   0.7223641372   0.7217904539   0.7210514668   0.6751630846   0.6733613447   0.6553473511   0.6873103687   0.7332529073   0.6610172971
   0.6837961913    0.683032577   0.7223689251   0.7220526451   0.7214600772   0.7203851375   0.6744036289   0.6733368236   0.6557524965   0.6877952816   0.7336192668   0.6688267132
   0.6837731036   0.6826522872   0.7222345553   0.7216848952   0.7208090698    0.719886818   0.6737917802   0.6732842781    0.654547802   0.6902562746   0.7339330682   0.6700133981
   0.6834902127   0.6820882516   0.7217904539   0.7210514668   0.7201694225   0.7192783405   0.6733086895   0.6735151333   0.6549401466    0.690528636   0.7337269878   0.6730671353
   0.6833226863   0.6815752872   0.7212620794   0.7203851375   0.7196713716   0.7187698466   0.6727552225   0.6738049849   0.6553706523   0.6909747608   0.7375010459    0.674334108
   0.6829188287   0.7237466316   0.7206621799    0.719886818   0.7189072966   0.7184657835   0.6720555731   0.6739368643   0.6558872922   0.6910918555   0.7376606079   0.6871750159
   0.6826522872   0.7231859969    0.719886818   0.7191008917   0.7186118083   0.7179785059   0.6854936224   0.6696373895   0.6562405759   0.6949764511   0.7380183019   0.6900991616
   0.6821989156   0.7227029265   0.7191008917   0.7186557048   0.7180917503   0.7175188207   0.6851449583    0.669703758   0.6564184725    0.695522982    0.738454412   0.6909342878
   0.6818704946   0.7223689251   0.7186557048   0.7180917503   0.7176777127   0.7169775239   0.6848415986   0.6700242535   0.6567713176   0.6958730256   0.7398788483   0.6950660548
   0.6815484755   0.7221841902   0.7180917503   0.7176777127   0.7171429359   0.7167360018   0.6844494224   0.6703799211   0.6571741016   0.6961733735   0.7484063931   0.6959955763
   0.7237466316   0.7216848952   0.7175188207   0.7169775239   0.7167360018   0.7162716656   0.6840194465   0.6707527248   0.6577405401    0.708796059   0.7435616538   0.7091344551
   0.7231859969   0.7210514668   0.7169775239   0.7166117905   0.7161091073   0.7157568141   0.6834867574   0.6708840944   0.6582849105   0.7091920345   0.6564135538    0.709781929
   0.7228565575   0.7201694225   0.7164487871   0.7161091073   0.7156912057   0.7154531735   0.6829796366   0.6613475812   0.6592085429   0.7094722026   0.4816463765   0.7238023773
   0.7224791692   0.7194794645   0.7157568141   0.7155986092   0.7152885158   0.7148339374   0.6825461338   0.6615777607    0.658886486   0.6911202665   0.3890140755   0.7241439167
   0.7223641372   0.7187698466   0.7154531735   0.7150666597    0.714642677   0.7143277379   0.6866926044   0.6618312563   0.6594546396   0.6092256133    0.302879532   0.7223519931
   0.7221841902   0.7182751438    0.714642677   0.7143277379   0.7142296278   0.7138767726   0.6863387957   0.6341545845   0.6043469351   0.5142784943   0.2166307475   0.7331844567
   0.6204865305   0.7176777127    0.714072481   0.7138767726   0.5838001668   0.5836054075   0.6420713379   0.5048355411   0.4989038738   0.4191443992   0.1303832908   0.7339330682
   0.6200323139   0.7169775239   0.5836984254   0.5836054075   0.5834066187   0.3589985176   0.6418355851    0.375322471    0.396777672   0.3240636972   0.0441191003   0.7375782537
   0.3792958841   0.5970406559   0.3589985176   0.3588934723   0.3587809865   0.3586862733   0.4779007758   0.3755341817   0.2897723432   0.1334736823              0   0.7386714458
   0.1389539605   0.3767141127   0.3585854783   0.3585854783   0.1598134971   0.1597675081    0.314009173   0.2438134142   0.1825841874   0.0382957681              0   0.7434405189
   0.1388469142   0.1568615166    0.159706044   0.1596446623   0.1596446623   0.1595934779   0.3138542439   0.1150810484    0.075240824              0              0   0.4816593497
              0              0              0              0              0              0   0.1502085531              0              0              0              0   0.2166358376
              0              0              0              0              0              0              0              0              0              0              0              0
