         T         c12         c13         c14 
   1000.00  15.0492711  19.9385306  23.2562901 
   1000.46  15.0417055  19.9283828  23.2443423 
   1000.92  15.0341434  19.9182396  23.2323999 
   1001.38  15.0265848  19.9081012  23.2204631 
   1001.84  15.0190297  19.8979674  23.2085318 
   1002.31  15.0114781  19.8878383  23.1966060 
   1002.77  15.0039299  19.8777138  23.1846857 
   1003.23  14.9963852  19.8675941  23.1727708 
   1003.69  14.9888440  19.8574789  23.1608615 
   1004.15  14.9813063  19.8473685  23.1489576 
   1004.62  14.9737720  19.8372626  23.1370592 
   1005.08  14.9662412  19.8271615  23.1251663 
   1005.54  14.9587139  19.8170650  23.1132789 
   1006.01  14.9511900  19.8069731  23.1013970 
   1006.47  14.9436696  19.7968859  23.0895205 
   1006.93  14.9361526  19.7868033  23.0776495 
   1007.40  14.9286392  19.7767254  23.0657839 
   1007.86  14.9211291  19.7666521  23.0539239 
   1008.32  14.9136226  19.7565834  23.0420693 
   1008.79  14.9061195  19.7465194  23.0302201 
   1009.25  14.8986198  19.7364601  23.0183764 
   1009.72  14.8911236  19.7264053  23.0065382 
   1010.18  14.8836309  19.7163552  22.9947054 
   1010.65  14.8761416  19.7063097  22.9828781 
   1011.11  14.8686557  19.6962688  22.9710562 
   1011.58  14.8611733  19.6862326  22.9592397 
   1012.05  14.8536944  19.6762010  22.9474287 
   1012.51  14.8462189  19.6661740  22.9356232 
   1012.98  14.8387468  19.6561516  22.9238231 
   1013.45  14.8312782  19.6461338  22.9120284 
   1013.91  14.8238130  19.6361207  22.9002391 
   1014.38  14.8163512  19.6261121  22.8884553 
   1014.85  14.8088929  19.6161082  22.8766769 
   1015.31  14.8014380  19.6061089  22.8649039 
   1015.78  14.7939866  19.5961141  22.8531364 
   1016.25  14.7865386  19.5861240  22.8413743 
   1016.72  14.7790940  19.5761385  22.8296176 
   1017.19  14.7716528  19.5661576  22.8178663 
   1017.66  14.7642151  19.5561812  22.8061204 
   1018.12  14.7567808  19.5462095  22.7943799 
   1018.59  14.7493499  19.5362424  22.7826449 
   1019.06  14.7419224  19.5262798  22.7709152 
   1019.53  14.7344984  19.5163218  22.7591909 
   1020.00  14.7270778  19.5063685  22.7474721 
