         id               ra              dec      mag      type         n               re              phi            ratio     notes 
       6031       53.1455927      -27.8538634  27.0379    sersic     1.103            1.350           -4.966           0.4949   comment 
       6032       53.1508237      -27.8538643  26.8882    sersic     5.232           11.553           15.116           0.5512   comment 
       6035       53.0915677      -27.8538370  25.9374    sersic     0.780            1.565           58.042           0.5949   comment 
       6040       53.1904785      -27.8537648  24.4976    sersic     0.515            5.040          -11.837           0.7380   comment 
       6044       53.0643366      -27.8537228  26.5988    sersic     5.569            0.386          -70.422           0.0499   comment 
       6048       53.1620676      -27.8537863    25.37    sersic     0.954            1.325          -46.134           0.4436   comment 
       6049       53.1036172      -27.8537902  25.5936    sersic     1.407            2.294            6.669           0.3761   comment 
       6051       53.1536216      -27.8536430  26.3708    sersic     1.289            1.357          -31.471           0.4597   comment 
       6054       53.1409049      -27.8536447   26.036    sersic     1.312            2.126          -53.609           0.2180   comment 
       6056       53.0750457      -27.8535748  25.8565    sersic     1.117            2.932           76.178           0.2484   comment 
       6057       53.0990234      -27.8535584  26.1024    sersic     0.777            1.686           44.453           0.4477   comment 
       6058       53.1286299      -27.8535537  26.5047    sersic     2.244            0.840          -85.967           0.0749   comment 
       6060       53.0747109      -27.8535325  26.3049    sersic     7.584            2.176          -22.523           0.0489   comment 
       6062       53.0786352      -27.8535735  26.0721    sersic     0.679            0.502           84.399           0.7710   comment 
       6063       53.1196140      -27.8535066  25.9705    sersic     1.240            2.395           84.123           0.4901   comment 
       6064       53.0857092      -27.8534986  26.5145    sersic     5.067            1.291           67.462           0.2245   comment 
       6065       53.0631493      -27.8536829  24.7536    sersic     3.126            0.954          -65.784           0.7440   comment 
       6066       53.1508181      -27.8534771  26.3385    sersic     2.030            5.132           71.425           0.0360   comment 
       6067       53.0581499      -27.8535418  25.6445    sersic     1.756            1.239          -14.567           0.8033   comment 
       6068       53.0615753      -27.8534570  26.0423    sersic     1.191            1.417           57.888           0.6180   comment 
       6070       53.1050784      -27.8534426  26.7806    sersic     3.786            1.630          -66.967           0.0591   comment 
