         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6031       53.1455927      -27.8538634        0.6360232    sersic       1.103        1.3500000       -4.9660000        0.4949000   comment 
       6032       53.1508237      -27.8538643        0.1145699    sersic       5.232       11.5530000       15.1160000        0.5512000   comment 
       6035       53.0915677      -27.8538370        0.1219031    sersic       0.726        1.5280000       41.3360000        0.6214000   comment 
       6040       53.1904785      -27.8537648        2.2115419    sersic       0.515        5.0400000      -11.8370000        0.7380000   comment 
       6044       53.0643366      -27.8537228        0.5207166    sersic       5.569        0.3860000      -70.4220000        0.0499000   comment 
       6048       53.1620676      -27.8537863        1.5100896    sersic       0.954        1.3250000      -46.1340000        0.4436000   comment 
       6049       53.1036172      -27.8537902        0.9579764    sersic       1.407        2.2940000        6.6690000        0.3761000   comment 
       6051       53.1536216      -27.8536430        0.4738068    sersic       1.654        1.7140000      -31.2440000        0.4474000   comment 
       6054       53.1409049      -27.8536447        0.5925068    sersic       1.104        2.2930000      -53.3670000        0.3447000   comment 
       6056       53.0750457      -27.8535748        0.8251358    sersic       1.117        2.9320000       76.1780000        0.2484000   comment 
       6057       53.0990234      -27.8535584        0.5352290    sersic       0.777        1.6860000       44.4530000        0.4477000   comment 
       6058       53.1286299      -27.8535537        0.4871852    sersic       2.809        0.7110000       89.3410000        0.0351000   comment 
       6060       53.0747109      -27.8535325        0.8389947    sersic       5.886        2.7270000      -21.6800000        0.2327000   comment 
       6062       53.0786352      -27.8535735        0.2738780    sersic       0.821        0.6210000      -40.5650000        0.6408000   comment 
       6063       53.1196140      -27.8535066        0.7054767    sersic       0.985        2.4950000       75.3010000        0.3992000   comment 
       6064       53.0857092      -27.8534986        0.2205604    sersic       5.067        1.2910000       67.4620000        0.2245000   comment 
       6065       53.0631493      -27.8536829        0.7149935    sersic       3.163        0.9580000      -83.2040000        0.6374000   comment 
       6066       53.1508181      -27.8534771        0.4377139    sersic       1.460        5.7900000       56.4590000        0.2988000   comment 
       6067       53.0581499      -27.8535418        1.1276910    sersic       1.756        1.2390000      -14.5670000        0.8033000   comment 
