x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1976.78,3892.1,26.286,0.079,27.4140720085,3.06e-11,0.008,-0.201,13.7,-0.002
1943.81,3103.13,25.143,0.03,26.4190110765,8.77e-11,0.174,0.201,36.0,-0.015
1869.62,2542.73,27.256,0.165,27.484019888,1.25e-11,0.013,0.788,6.6,-0.001
3996.09,1866.42,25.037,0.026,24.9345998574,9.67e-11,0.01,0.264,41.9,-0.008
3085.35,689.36,27.335,0.175,27.2286251604,1.16e-11,0.013,0.033,6.2,-0.027
3991.09,3546.26,27.378,0.207,27.545795994,1.12e-11,0.008,0.474,5.2,0.017
1262.99,3794.65,25.328,0.033,25.264410725,7.39e-11,0.004,0.132,32.6,0.012
3141.25,1021.54,27.325,0.175,27.07413006,1.17e-11,0.199,0.192,6.2,0.037
3196.78,1882.65,26.371,0.078,26.3311433438,2.83e-11,0.014,0.244,13.9,-0.018
763.56,1665.19,25.517,0.038,25.6751506013,6.21e-11,0.005,0.465,28.8,0.009
949.04,2043.1,27.456,0.237,27.7039877027,1.04e-11,0.026,0.139,4.6,0.126
3465.26,1742.8,27.107,0.153,27.2567086589,1.44e-11,0.037,-0.438,7.1,0.032
1094.78,2273.82,27.303,0.191,27.2398109297,1.2e-11,0.032,2.216,5.7,0.105
2870.59,2990.15,27.694,0.261,28.2179623084,8.36e-12,0.003,1.13,4.2,-0.002
1898.75,3230.5,27.182,0.154,27.4331069988,1.34e-11,0.061,-0.329,7.1,-0.007
868.75,749.97,25.131,0.029,25.1902268912,8.86e-11,0.009,0.369,37.1,0.007
3659.0,2512.73,23.583,0.009,24.4499158208,3.69e-10,0.007,-0.013,123.1,-0.002
849.78,3686.34,27.349,0.189,27.1845482476,1.15e-11,0.058,0.186,5.7,0.007
1590.92,3391.23,26.307,0.081,26.2733799489,3e-11,0.023,-0.375,13.4,-0.01
1842.57,3391.37,27.724,0.251,26.6196294543,8.13e-12,1.19,-0.85,4.3,0.075
3279.95,1777.88,23.782,0.026,27.3975671354,3.07e-10,0.768,7.629,42.4,0.096
2618.24,3139.29,27.378,0.193,27.406687734,1.12e-11,0.068,0.53,5.6,-0.078
3676.78,1699.38,27.688,0.254,27.7161826104,8.41e-12,0.018,0.332,4.3,0.03
1726.47,245.21,25.106,0.027,25.0610072358,9.07e-11,0.002,0.276,40.7,0.001
1875.71,3374.5,27.598,0.219,27.2901005038,9.14e-12,0.026,0.441,5.0,0.012
3168.93,118.51,27.129,0.156,27.3171125331,1.41e-11,0.004,2.064,7.0,0.04
2756.18,2998.13,27.381,0.211,27.5572608972,1.12e-11,0.016,0.774,5.1,-0.058
3247.72,2248.77,27.512,0.219,27.3548364864,9.89e-12,0.082,1.13,5.0,0.097
3429.08,1272.09,25.98,0.066,26.3223236974,4.06e-11,1.027,0.866,16.4,-0.008
3193.97,1805.08,27.187,0.188,99.99,1.33e-11,0.5,0.265,5.8,-0.196
3047.44,3457.2,25.013,0.026,26.4205082154,9.88e-11,0.495,0.241,42.4,-0.047
147.83,3164.15,24.692,0.021,26.7389264777,1.33e-10,0.037,0.136,52.8,-0.022
630.09,3141.93,27.033,0.159,27.3060360869,1.54e-11,0.006,1.082,6.8,-0.056
2796.2,3769.79,25.008,0.026,24.9514358865,9.92e-11,0.061,0.652,42.0,-0.0
2598.96,3628.98,26.037,0.067,99.99,3.85e-11,0.387,0.307,16.1,-0.099
2586.64,2742.66,26.439,0.079,26.6112288221,2.66e-11,0.014,2.089,13.7,0.017
3972.98,2782.31,27.533,0.237,27.3954918746,9.7e-12,0.001,0.27,4.6,-0.002
2500.02,3013.0,26.048,0.184,27.2948586884,3.81e-11,0.077,0.687,5.9,-0.018
305.73,242.8,27.626,0.247,27.9090805411,8.9e-12,0.003,1.059,4.4,0.123
876.94,3895.04,27.161,0.183,27.5056600122,1.37e-11,0.015,0.012,5.9,0.081
544.76,2183.12,25.676,0.046,26.8417391583,5.36e-11,0.122,0.132,23.5,0.011
2545.76,2328.89,24.999,0.026,24.9067676485,1e-10,0.013,0.615,41.7,-0.003
2701.85,3689.98,27.142,0.177,27.4314291928,1.39e-11,0.079,-0.013,6.1,-0.12
678.88,2044.12,26.355,0.216,26.3040634065,2.87e-11,0.004,-0.157,5.0,0.024
2590.81,3705.0,26.81,0.129,26.8559213827,1.89e-11,0.003,0.042,8.4,-0.04
122.0,396.93,23.708,0.024,99.99,3.29e-10,0.398,0.308,45.4,-0.242
1742.24,1969.78,24.482,0.018,24.9917780129,1.61e-10,0.519,0.142,61.5,-0.072
2400.06,469.98,23.308,0.059,27.214660186,4.75e-10,0.538,0.794,18.3,-1.752
2938.79,1684.43,24.553,0.017,26.6055568548,1.51e-10,0.013,0.031,62.7,-0.022
3139.87,3840.16,27.547,0.25,27.5120078028,9.58e-12,0.055,0.881,4.3,-0.105
884.2,3158.45,27.198,0.161,27.1842796925,1.32e-11,0.242,0.185,6.8,-0.022
895.98,3398.73,24.309,0.015,25.589359165,1.89e-10,0.001,-0.034,72.4,0.002
2728.49,3490.57,25.727,0.042,25.7492442499,5.12e-11,0.001,-0.143,26.1,-0.01
4001.49,1953.24,27.754,0.261,99.99,7.91e-12,0.005,-0.411,4.2,-0.001
963.19,3721.92,27.266,0.19,27.1510029349,1.24e-11,0.013,0.946,5.7,0.046
3510.03,860.23,23.457,0.009,99.99,4.14e-10,0.63,4.018,122.2,-0.328
47.83,3707.95,21.1,0.008,99.99,3.63e-09,0.037,0.276,131.3,2.856
