x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
3702.05,3474.35,27.819,0.205,28.1034104421,7.45e-12,0.01,0.544,5.3,0.17
1976.78,3892.1,26.827,0.089,27.6287950714,1.86e-11,0.005,-0.129,12.3,0.029
429.33,3807.85,28.139,0.258,28.406340952,5.55e-12,0.051,0.271,4.2,-0.05
1943.81,3103.13,25.542,0.03,26.6629498796,6.07e-11,0.157,0.32,36.4,0.006
1869.62,2542.73,27.694,0.161,27.681640805,8.36e-12,0.01,0.38,6.7,-0.022
3085.35,689.36,27.475,0.131,27.5304994159,1.02e-11,0.008,0.743,8.3,0.067
3991.09,3546.26,28.042,0.258,27.8313588506,6.07e-12,0.096,3.383,4.2,-0.053
1262.99,3794.65,25.826,0.035,25.5734629091,4.67e-11,0.003,0.199,30.9,0.005
3141.25,1021.54,27.456,0.129,27.3101054314,1.04e-11,0.092,0.093,8.4,0.005
3196.78,1882.65,26.728,0.072,26.612039437,2.04e-11,0.008,0.134,15.1,-0.026
763.56,1665.19,26.086,0.042,25.9608251343,3.68e-11,0.002,0.345,25.8,0.012
949.04,2043.1,27.806,0.225,27.8312924608,7.55e-12,0.025,0.474,4.8,0.116
3465.26,1742.8,27.827,0.194,27.5035853117,7.4e-12,0.029,0.053,5.6,0.113
2008.22,1038.4,27.739,0.174,27.5441732899,8.03e-12,0.014,1.394,6.2,-0.002
1094.78,2273.82,27.716,0.187,27.4886929543,8.2e-12,0.019,1.029,5.8,0.032
1898.75,3230.5,27.547,0.142,27.6448153353,9.57e-12,0.023,0.756,7.7,0.024
3037.59,2653.38,28.224,0.254,27.7492197092,5.14e-12,0.029,4.774,4.3,0.021
2434.02,1939.56,27.903,0.214,27.5753625227,6.9e-12,0.143,0.179,5.1,-0.087
849.78,3686.34,27.634,0.164,27.4238674256,8.84e-12,0.033,-0.54,6.6,-0.043
1590.92,3391.23,26.695,0.079,26.5805444145,2.1e-11,0.029,0.752,13.7,0.011
2618.24,3139.29,27.853,0.198,27.6015500038,7.22e-12,0.026,0.831,5.5,-0.017
3676.78,1699.38,27.923,0.21,27.9613566324,6.77e-12,0.017,2.536,5.2,0.11
1875.71,3374.5,27.897,0.188,27.5380719395,6.94e-12,0.017,3.64,5.8,0.067
3168.93,118.51,27.588,0.159,27.5613181897,9.22e-12,0.004,0.132,6.8,-0.082
366.15,1849.12,27.663,0.189,99.99,8.61e-12,0.161,0.219,5.7,-0.071
2756.18,2998.13,27.894,0.23,27.8460443298,6.96e-12,0.027,-0.033,4.7,-0.001
3247.72,2248.77,27.853,0.198,27.5891355375,7.23e-12,0.119,1.021,5.5,0.035
630.09,3141.93,27.777,0.213,27.5615373279,7.75e-12,0.004,0.001,5.1,-0.132
2131.3,2834.83,28.168,0.262,28.3061931306,5.41e-12,0.182,1.429,4.1,0.022
2586.64,2742.66,27.012,0.086,26.94073186,1.57e-11,0.01,1.381,12.6,0.003
3972.98,2782.31,27.845,0.214,27.6228792882,7.28e-12,0.001,0.167,5.1,0.0
2500.02,3013.0,26.515,0.202,27.5917134234,2.48e-11,0.081,0.212,5.4,0.024
3328.78,548.98,27.819,0.218,27.6356490474,7.45e-12,0.034,0.646,5.0,-0.007
305.73,242.8,28.22,0.284,27.9608773781,5.15e-12,0.006,2.497,3.8,0.251
