x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
4088.41,211.95,26.826,0.296,99.99,1.86e-11,0.068,-0.069,3.7,0.091
1976.78,3892.1,26.102,0.155,27.0725918495,3.62e-11,0.055,1.346,7.0,0.078
1869.62,2542.73,26.748,0.273,27.171158271,2e-11,0.037,-1.081,4.0,0.027
3996.09,1866.42,24.321,0.033,24.2992813018,1.87e-10,0.011,0.08,33.1,0.016
3085.35,689.36,26.688,0.257,26.7419310369,2.11e-11,0.052,0.085,4.2,-0.035
3664.1,1683.71,26.445,0.209,99.99,2.64e-11,0.087,0.689,5.2,-0.069
1262.99,3794.65,24.797,0.049,24.7725609634,1.21e-10,0.011,0.196,22.1,0.006
3196.78,1882.65,25.789,0.116,25.8788796558,4.84e-11,0.03,0.86,9.4,0.019
763.56,1665.19,25.079,0.062,25.5177467105,9.3e-11,0.02,0.142,17.5,0.02
3910.51,1816.66,26.667,0.251,99.99,2.15e-11,0.041,0.148,4.3,0.053
849.78,3686.34,26.529,0.225,26.8023778734,2.45e-11,0.179,0.368,4.8,-0.075
1590.92,3391.23,25.757,0.113,25.7803945611,4.98e-11,0.015,0.089,9.6,-0.06
1726.47,245.21,24.431,0.036,24.3741967318,1.69e-10,0.003,0.085,30.2,-0.004
3168.93,118.51,26.834,0.295,26.9271770726,1.85e-11,0.023,0.492,3.7,0.135
2586.64,2742.66,25.266,0.073,25.6976759719,7.83e-11,0.028,0.736,15.0,-0.068
3972.98,2782.31,26.637,0.25,27.0311535994,2.21e-11,0.006,0.419,4.3,0.08
2500.02,3013.0,25.588,0.232,26.8173943322,5.82e-11,0.179,0.97,4.7,-0.06
2590.81,3705.0,26.266,0.181,26.3437801861,3.12e-11,0.011,0.816,6.0,-0.079
3689.5,767.58,26.691,0.256,99.99,2.11e-11,0.026,0.581,4.2,0.01
3139.87,3840.16,26.668,0.258,27.2360670649,2.15e-11,0.102,0.231,4.2,-0.049
2728.49,3490.57,25.081,0.062,25.1175754473,9.28e-11,0.002,0.036,17.6,-0.025
963.19,3721.92,26.616,0.248,26.6568219533,2.26e-11,0.027,1.139,4.4,0.159
3226.5,3124.45,26.202,0.165,26.054894141,3.31e-11,0.013,0.408,6.6,-0.073
3239.58,3733.22,25.55,0.094,25.4793385797,6.03e-11,0.017,-0.113,11.6,0.023
2994.74,68.16,26.128,0.158,26.2523681329,3.54e-11,0.257,0.48,6.9,-0.033
3556.38,1408.05,26.443,0.21,26.5281294833,2.65e-11,0.103,7.933,5.2,0.067
3950.0,3951.68,24.8,0.049,24.8015088343,1.2e-10,0.003,-0.003,22.1,-0.003
457.65,3966.82,26.651,0.252,99.99,2.19e-11,0.055,0.588,4.3,0.027
3070.86,2456.81,26.396,0.203,26.5894320314,2.76e-11,0.061,0.774,5.3,0.043
2517.62,256.88,25.021,0.059,22.7514635656,9.81e-11,0.005,0.188,18.3,-0.015
3760.92,3962.09,26.532,0.228,27.0039343976,2.44e-11,0.005,1.973,4.8,-0.076
2458.24,1255.04,24.553,0.04,24.5373468831,1.51e-10,0.023,0.223,27.2,0.004
2853.79,2391.32,26.648,0.25,27.0433315603,2.19e-11,0.035,2.017,4.3,0.068
2825.87,2121.12,26.613,0.246,26.9451354853,2.26e-11,0.064,1.727,4.4,0.041
1233.54,3078.31,25.314,0.076,25.2754498013,7.49e-11,0.003,0.117,14.3,0.068
