x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
119.93,1646.82,26.543,0.182,99.99,2.41e-11,0.416,0.299,6.0,-0.043
2491.18,3299.15,28.123,0.282,27.5328665005,5.63e-12,0.444,0.944,3.9,0.026
1872.6,3453.97,25.281,0.022,26.4762141439,7.72e-11,0.003,6.421,48.3,-0.026
155.81,2657.86,27.683,0.187,27.6580528162,8.45e-12,0.001,0.595,5.8,-0.004
2655.51,2105.44,28.185,0.232,27.7255255938,5.32e-12,0.154,2.803,4.7,-0.028
1156.8,3136.23,27.386,0.14,27.6022583519,1.11e-11,0.006,0.426,7.8,-0.023
2284.16,3407.47,27.532,0.146,27.5224090439,9.71e-12,0.329,1.529,7.4,-0.016
2475.81,1342.08,27.811,0.22,27.7553901201,7.51e-12,0.109,0.176,4.9,0.046
3704.46,1915.76,27.782,0.172,27.5743232495,7.72e-12,0.024,-0.824,6.3,0.027
3839.84,735.49,28.252,0.282,99.99,5e-12,0.146,-0.302,3.8,-0.055
3006.86,1681.24,24.049,0.009,25.3843481347,2.4e-10,0.0,0.001,119.4,-0.019
1357.46,3082.92,28.008,0.23,27.6547957354,6.27e-12,0.054,-0.04,4.7,0.029
3845.64,2281.5,28.022,0.205,27.7336194893,6.18e-12,0.04,-0.025,5.3,-0.023
517.04,2709.3,28.144,0.28,99.99,5.52e-12,0.182,2.675,3.9,0.073
1600.74,2750.04,27.97,0.246,27.6749858866,6.48e-12,0.029,2.741,4.4,0.058
661.9,4007.24,27.744,0.2,99.99,7.99e-12,0.302,-0.245,5.4,-0.088
74.04,3980.72,28.113,0.266,99.99,5.69e-12,0.037,-0.095,4.1,-0.089
2270.45,291.01,27.733,0.185,27.5328665005,8.07e-12,0.028,3.792,5.9,0.118
3484.01,4037.16,23.126,0.011,25.5113320535,5.62e-10,0.022,9.475,103.2,0.037
2745.55,2749.28,27.61,0.15,27.4253848203,9.03e-12,0.013,2.629,7.3,-0.022
2574.83,3666.97,24.216,0.096,28.3007658273,2.06e-10,0.047,0.301,11.3,1.758
3321.26,1847.94,27.68,0.182,99.99,8.47e-12,0.069,0.145,6.0,-0.057
551.98,2890.8,27.517,0.164,27.4982219611,9.85e-12,0.036,0.342,6.6,-0.015
144.7,3672.89,24.723,0.015,24.463173548,1.29e-10,0.003,0.044,74.0,-0.005
538.18,455.32,28.133,0.26,27.9065653947,5.58e-12,0.021,-0.107,4.2,-0.06
760.83,2856.26,27.639,0.176,27.5524179548,8.8e-12,0.015,0.812,6.2,-0.02
3426.62,2722.24,27.707,0.171,27.5479844453,8.26e-12,0.015,1.333,6.3,0.084
3893.5,2295.96,27.912,0.213,27.5371036754,6.84e-12,0.376,0.599,5.1,-0.404
1902.67,3736.64,27.794,0.173,27.5234963364,7.63e-12,0.027,-0.166,6.3,-0.06
3803.31,1109.11,27.677,0.178,27.6201944588,8.5e-12,0.013,1.932,6.1,-0.008
3297.59,2391.86,26.862,0.082,23.2751928224,1.8e-11,0.001,-0.212,13.2,-0.015
1865.45,2986.0,25.88,0.036,26.7852132061,4.45e-11,0.001,0.317,30.0,-0.008
666.64,1445.72,28.389,0.302,99.99,4.41e-12,0.002,-0.195,3.6,0.084
3706.9,3037.61,25.056,0.019,24.8050342272,9.5e-11,0.001,-0.084,58.2,0.004
1728.35,2353.49,26.421,0.05,26.1172661987,2.7e-11,0.002,0.045,21.6,0.017
2003.81,847.7,27.53,0.15,27.4364974877,9.73e-12,0.005,0.547,7.2,-0.032
1553.68,1910.14,28.074,0.256,99.99,5.89e-12,0.01,3.355,4.2,0.011
2360.81,3076.11,27.911,0.238,28.2972309184,6.85e-12,0.011,0.169,4.6,0.089
2063.26,3813.17,27.713,0.184,27.6368965741,8.22e-12,0.008,0.205,5.9,-0.033
1113.95,3118.96,25.902,0.114,99.99,4.36e-11,0.19,0.101,9.5,-0.384
1942.03,392.34,27.935,0.229,27.3363447718,6.7e-12,0.049,1.332,4.7,0.052
1963.56,3528.22,27.97,0.216,27.7212996023,6.49e-12,0.023,-1.051,5.0,0.031
1085.31,3860.73,27.665,0.157,27.6964586456,8.59e-12,0.037,2.439,6.9,-0.033
3319.97,3429.15,27.534,0.174,27.7150246058,9.69e-12,0.01,0.101,6.3,-0.089
3470.21,3174.35,27.887,0.203,27.5213637178,7e-12,0.043,3.174,5.3,-0.011
1831.02,2552.01,27.759,0.217,27.6599682414,7.88e-12,0.16,-0.086,5.0,-0.156
2299.63,1608.75,27.702,0.166,27.6723881109,8.3e-12,0.017,3.11,6.5,-0.038
2374.97,1227.72,27.682,0.182,27.7556284669,8.46e-12,0.014,1.88,6.0,-0.023
3526.31,3871.41,28.377,0.292,28.3322748479,4.46e-12,0.089,3.598,3.7,-0.009
2996.63,318.02,27.589,0.167,27.5811230814,9.21e-12,0.006,-0.693,6.5,-0.036
2196.29,2318.14,27.657,0.175,27.5003810717,8.66e-12,0.034,3.601,6.2,-0.032
3878.1,3394.76,28.087,0.261,99.99,5.82e-12,0.062,0.548,4.2,0.197
562.6,1005.09,28.11,0.264,99.99,5.7e-12,0.022,3.27,4.1,0.029
2483.05,3936.96,28.12,0.297,99.99,5.65e-12,0.146,2.135,3.7,0.015
3609.17,1604.08,27.236,0.129,27.5738933579,1.28e-11,0.002,0.236,8.4,-0.122
2734.62,1237.84,19.929,0.001,23.1928833698,1.07e-08,0.068,0.045,1246.7,-0.122
1720.75,889.47,27.161,0.101,27.3943938136,1.37e-11,0.025,0.493,10.7,-0.011
1265.58,3656.67,27.992,0.203,27.6162650434,6.36e-12,0.009,2.691,5.4,0.061
73.04,2223.51,28.261,0.292,27.7979104566,4.96e-12,0.023,3.537,3.7,0.003
2176.42,760.46,27.732,0.155,27.5813886307,8.08e-12,0.002,0.319,7.0,-0.031
4070.53,59.74,28.423,0.305,99.99,4.27e-12,0.026,-1.572,3.6,0.105
2532.22,87.89,24.198,0.01,26.1524435002,2.09e-10,0.093,0.118,107.4,-0.015
573.83,3376.18,26.558,0.07,26.9994476871,2.38e-11,0.018,0.997,15.6,0.007
1642.15,48.99,26.37,0.165,27.2174946145,2.83e-11,0.029,1.287,6.6,0.106
2103.64,2557.06,28.077,0.26,27.6748656117,5.88e-12,0.011,1.454,4.2,0.049
1063.22,3411.13,27.902,0.228,27.3945003009,6.91e-12,0.217,-0.191,4.8,0.067
2288.26,3559.8,28.091,0.247,27.7803605582,5.8e-12,0.005,2.7,4.4,-0.01
2970.79,902.68,28.25,0.284,99.99,5.01e-12,0.108,4.951,3.8,0.001
2131.75,3398.22,27.981,0.234,28.2093122297,6.42e-12,0.014,1.075,4.6,0.014
1893.5,2764.51,27.933,0.18,27.5524241866,6.71e-12,0.006,0.745,6.0,-0.055
905.87,3992.23,28.128,0.282,99.99,5.61e-12,0.001,0.456,3.8,-0.009
3661.42,1310.34,27.925,0.194,27.557987061,6.76e-12,0.003,2.929,5.6,0.049
742.31,3827.14,27.775,0.193,27.6550327688,7.76e-12,0.007,0.23,5.6,-0.011
2091.82,1123.86,28.11,0.277,99.99,5.7e-12,0.009,1.582,3.9,0.055
3652.15,673.28,24.114,0.009,25.7843837181,2.26e-10,0.001,0.05,115.7,-0.011
3334.08,1150.18,28.069,0.274,99.99,5.92e-12,0.01,-0.065,4.0,-0.055
1377.7,1451.8,23.307,0.005,23.0511573148,4.75e-10,0.0,0.055,198.0,-0.001
3601.62,572.21,27.65,0.166,27.5248284949,8.71e-12,0.019,1.623,6.5,0.042
2804.41,2554.72,27.657,0.152,27.5145151529,8.66e-12,0.027,1.157,7.1,-0.015
3418.8,987.04,25.016,0.201,99.99,9.85e-11,0.367,9.525,5.4,0.897
2386.91,1472.94,26.524,0.195,27.6059019059,2.46e-11,0.129,0.41,5.6,-0.169
3231.31,2685.9,24.479,0.012,24.2289408476,1.62e-10,0.007,0.269,89.7,0.001
1619.62,1283.3,27.91,0.198,27.5650897291,6.85e-12,0.005,-0.261,5.5,0.07
2479.05,3665.12,26.668,0.219,99.99,2.15e-11,0.088,-0.028,5.0,-0.188
29.69,2277.41,25.461,0.024,25.1748768357,6.54e-11,0.001,0.138,44.8,-0.004
