x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1976.78,3892.1,27.111,0.096,27.947570258,1.43e-11,0.007,1.258,11.4,0.027
1943.81,3103.13,25.714,0.029,26.8927529878,5.18e-11,0.131,0.358,37.1,0.003
1869.62,2542.73,27.919,0.167,27.980067775,6.8e-12,0.009,-0.188,6.5,-0.031
3996.09,1866.42,26.11,0.037,25.8695224191,3.6e-11,0.005,0.078,29.0,-0.018
3085.35,689.36,27.816,0.151,27.9482528296,7.48e-12,0.01,3.196,7.2,-0.005
2340.95,2759.2,28.174,0.253,28.4362880013,5.37e-12,0.185,0.002,4.3,-0.065
1262.99,3794.65,26.258,0.043,26.0264680271,3.14e-11,0.003,0.258,25.3,-0.002
3141.25,1021.54,27.634,0.128,27.6564798854,8.84e-12,0.062,3.723,8.5,-0.01
3196.78,1882.65,27.352,0.106,27.015919649,1.15e-11,0.005,-0.251,10.2,-0.032
763.56,1665.19,26.412,0.048,26.2681647593,2.73e-11,0.003,-0.008,22.8,-0.031
949.04,2043.1,28.115,0.245,28.0467588048,5.68e-12,0.016,0.273,4.4,-0.031
3465.26,1742.8,28.184,0.223,27.8552879348,5.33e-12,0.029,3.098,4.9,0.001
2008.22,1038.4,28.337,0.252,27.8958753422,4.63e-12,0.075,3.541,4.3,-0.043
1094.78,2273.82,27.862,0.179,27.8424003408,7.17e-12,0.012,0.067,6.1,0.002
1898.75,3230.5,28.013,0.183,27.9613496991,6.23e-12,0.013,1.947,5.9,-0.074
3037.59,2653.38,28.219,0.216,28.0024523115,5.15e-12,0.015,4.301,5.0,0.039
3121.99,3979.91,28.259,0.275,99.99,4.97e-12,0.01,0.132,3.9,0.017
868.75,749.97,25.684,0.028,25.5200920364,5.33e-11,0.013,-0.032,38.9,0.014
2434.02,1939.56,27.987,0.195,27.9239521786,6.38e-12,0.095,0.14,5.6,-0.118
3659.0,2512.73,24.387,0.01,25.0609166328,1.76e-10,0.003,0.079,108.6,-0.002
849.78,3686.34,28.224,0.237,27.7711865139,5.13e-12,0.03,0.334,4.6,0.033
1590.92,3391.23,27.114,0.096,27.0107835695,1.43e-11,0.025,0.213,11.3,-0.014
3676.78,1699.38,28.357,0.264,28.3220621199,4.54e-12,0.019,6.726,4.1,0.043
1726.47,245.21,26.321,0.043,26.0628524277,2.96e-11,0.002,0.156,25.0,0.016
1875.71,3374.5,28.323,0.236,27.8897743596,4.68e-12,0.029,3.249,4.6,-0.019
3168.93,118.51,28.002,0.196,27.9113555104,6.3e-12,0.002,0.093,5.5,-0.026
2756.18,2998.13,28.183,0.249,28.2468068984,5.33e-12,0.024,2.396,4.4,0.037
3247.72,2248.77,28.015,0.193,27.9297852737,6.22e-12,0.012,0.067,5.6,-0.1
147.83,3164.15,25.395,0.022,27.1207931781,6.95e-11,0.027,0.017,49.0,-0.019
630.09,3141.93,27.777,0.175,27.922158121,7.75e-12,0.003,-0.091,6.2,0.025
642.54,394.4,28.428,0.255,28.0539098349,4.25e-12,0.001,1.413,4.2,0.181
2796.2,3769.79,26.196,0.04,26.0276024282,3.32e-11,0.067,-0.039,27.2,-0.018
2586.64,2742.66,27.707,0.137,28.8446311847,8.26e-12,0.012,2.677,8.0,0.04
3972.98,2782.31,28.154,0.238,27.9577097839,5.47e-12,0.002,-0.361,4.6,0.0
2500.02,3013.0,26.907,0.255,28.0061402223,1.73e-11,0.072,0.356,4.3,-0.131
3328.78,548.98,28.241,0.267,27.9622319242,5.05e-12,0.037,2.029,4.1,0.099
876.94,3895.04,27.913,0.205,27.9504423195,6.84e-12,0.013,0.616,5.3,-0.03
544.76,2183.12,26.859,0.076,27.7095570284,1.8e-11,0.08,0.353,14.3,0.0
2545.76,2328.89,26.223,0.043,25.983563636,3.24e-11,0.007,0.516,25.2,-0.014
2701.85,3689.98,28.21,0.265,27.9667062684,5.2e-12,0.079,0.551,4.1,-0.016
678.88,2044.12,26.426,0.147,26.1207904078,2.69e-11,0.003,-0.11,7.4,0.01
2590.81,3705.0,27.711,0.167,27.6131554579,8.23e-12,0.002,0.194,6.5,-0.07
122.0,396.93,24.827,0.04,99.99,1.17e-10,0.422,0.092,27.1,-0.29
3352.8,1183.95,28.265,0.273,29.1004146231,4.94e-12,0.075,1.615,4.0,-0.032
1742.24,1969.78,26.558,0.055,25.8753522405,2.38e-11,0.758,0.216,19.6,-0.043
2400.06,469.98,23.724,0.054,27.9344486354,3.24e-10,0.012,-0.0,20.1,-1.877
2938.79,1684.43,25.083,0.016,26.9449581779,9.26e-11,0.006,0.099,66.9,-0.019
3139.87,3840.16,27.762,0.174,27.9576216942,7.86e-12,0.018,0.561,6.3,0.062
884.2,3158.45,28.175,0.216,27.9228860557,5.37e-12,0.126,0.042,5.0,-0.041
895.98,3398.73,24.973,0.015,26.0896867268,1.03e-10,0.001,0.128,70.7,-0.004
2728.49,3490.57,26.764,0.057,26.6687279564,1.97e-11,0.001,0.99,19.2,0.002
963.19,3721.92,28.2,0.247,27.8802592373,5.25e-12,0.009,2.696,4.4,0.113
3510.03,860.23,24.968,0.017,99.99,1.03e-10,0.623,4.203,64.5,-0.325
47.83,3707.95,22.943,0.027,99.99,6.65e-10,0.056,0.327,40.4,0.206
2201.85,2483.34,28.161,0.231,27.9133615748,5.44e-12,0.157,0.419,4.7,-0.173
3226.5,3124.45,27.266,0.087,27.1008225811,1.24e-11,0.002,0.152,12.4,-0.005
784.27,1344.58,27.854,0.154,27.9277760796,7.22e-12,0.004,0.472,7.1,0.073
194.95,490.95,25.725,0.341,99.99,5.13e-11,0.254,-1.087,3.2,2.52
3239.58,3733.22,27.14,0.089,26.8429467167,1.39e-11,0.005,1.29,12.2,0.025
2861.58,3449.62,28.225,0.21,27.8892063707,5.13e-12,0.005,-0.074,5.2,-0.063
2994.74,68.16,27.483,0.129,27.3963382534,1.02e-11,0.027,1.597,8.4,0.037
3556.38,1408.05,27.702,0.154,27.6033937561,8.3e-12,0.074,0.142,7.0,0.032
3950.0,3951.68,26.618,0.059,26.3110281728,2.25e-11,0.002,0.142,18.5,-0.003
1643.2,1948.59,25.48,0.022,22.4535548984,6.43e-11,0.004,-0.01,50.5,0.0
2063.44,1791.54,28.31,0.22,27.9872027005,4.74e-12,0.033,4.468,4.9,0.021
2399.03,1933.99,25.105,0.051,99.99,9.08e-11,0.536,2.561,21.1,-0.254
701.79,3348.0,26.806,0.074,26.7996281976,1.9e-11,0.003,-0.223,14.7,-0.019
2805.76,3091.24,28.401,0.287,28.5134336384,4.36e-12,0.103,-0.877,3.8,0.167
3571.2,2878.76,28.304,0.251,27.9011662673,4.77e-12,0.047,0.368,4.3,0.11
562.2,1696.99,28.283,0.271,27.8513625111,4.86e-12,0.021,1.109,4.0,-0.014
1000.48,1255.2,25.761,0.028,25.5762348562,4.96e-11,0.002,0.165,39.3,-0.008
3070.86,2456.81,27.983,0.205,27.730876617,6.41e-12,0.024,1.064,5.3,-0.04
1546.98,3490.05,24.754,0.039,28.1140787774,1.25e-10,0.775,7.157,27.9,0.237
222.6,2364.55,28.076,0.183,27.9820354686,5.88e-12,0.006,1.924,5.9,-0.024
2517.62,256.88,27.222,0.097,25.5661827703,1.29e-11,0.004,0.161,11.2,-0.07
3014.26,3026.64,27.638,0.128,27.6663067358,8.81e-12,0.105,-0.143,8.5,-0.027
1373.64,1588.08,28.305,0.269,28.0501562921,4.76e-12,0.012,-0.454,4.0,-0.097
678.01,3166.61,28.231,0.245,27.9603567934,5.1e-12,0.004,-0.21,4.4,-0.05
2561.29,1331.22,28.049,0.202,28.2506655087,6.03e-12,0.011,2.133,5.4,0.099
3760.92,3962.09,27.922,0.206,28.0124563183,6.78e-12,0.003,0.048,5.3,-0.035
2458.24,1255.04,26.572,0.058,24.5892278913,2.35e-11,0.002,0.115,18.6,0.002
1837.97,3880.79,20.64,0.004,29.7178525953,5.55e-09,0.059,2.283,283.2,-0.524
2748.79,1856.15,28.264,0.267,28.5365806567,4.95e-12,0.016,0.429,4.1,-0.02
2853.79,2391.32,27.85,0.171,27.9489874679,7.25e-12,0.006,0.449,6.3,-0.003
1584.04,2171.99,23.77,0.017,26.8173377898,3.1e-10,0.387,0.216,63.2,-0.052
4003.75,1396.74,28.121,0.214,28.8293081012,5.64e-12,0.013,0.175,5.1,-0.049
86.01,1427.04,28.064,0.236,99.99,5.95e-12,0.054,1.419,4.6,-0.119
137.96,646.84,27.994,0.212,28.0431845513,6.35e-12,0.015,0.898,5.1,-0.014
3618.11,2875.26,27.773,0.167,27.9553098803,7.78e-12,0.024,0.076,6.5,-0.014
371.3,3545.1,24.896,0.014,24.6367812056,1.1e-10,0.001,0.073,74.9,-0.001
512.42,1209.1,25.543,0.024,25.2749784262,6.07e-11,0.019,0.132,45.5,0.001
3080.07,1767.69,28.351,0.269,28.9039946908,4.57e-12,0.064,2.907,4.0,-0.029
2825.87,2121.12,27.758,0.174,27.9302068844,7.88e-12,0.012,0.262,6.2,0.015
1233.54,3078.31,27.139,0.084,26.8153229334,1.39e-11,0.002,1.784,13.0,0.053
3030.34,3825.86,24.756,0.013,24.9894917774,1.25e-10,0.006,0.049,86.3,-0.017
2733.0,902.8,22.437,0.006,25.5995528995,1.06e-09,0.29,0.248,176.9,-0.064
1851.35,2515.76,28.179,0.211,27.959982555,5.35e-12,0.007,0.222,5.1,0.059
1408.0,2014.3,24.961,0.016,24.7114110664,1.04e-10,0.001,0.019,69.8,0.001
3417.5,1166.64,28.089,0.182,27.9098138584,5.81e-12,0.015,0.681,6.0,0.025
2308.15,1530.28,28.025,0.205,27.9917364467,6.16e-12,0.017,-0.364,5.3,0.002
3282.96,1915.48,27.881,0.178,28.0288688579,7.04e-12,0.022,2.078,6.1,0.158
4007.03,3424.5,27.866,0.173,27.8653573381,7.14e-12,0.015,-0.122,6.3,0.063
866.59,767.76,28.338,0.246,99.99,4.62e-12,0.026,0.103,4.4,-0.055
3040.67,2006.24,28.285,0.25,27.8929696303,4.85e-12,0.01,-0.842,4.4,0.064
1749.78,3675.5,27.865,0.164,28.0158350579,7.14e-12,0.007,-0.745,6.6,-0.003
1282.84,251.03,27.941,0.207,99.99,6.66e-12,0.004,0.832,5.2,0.002
580.17,3612.44,28.219,0.23,27.9197374299,5.16e-12,0.003,0.507,4.7,0.047
1680.92,3432.76,26.919,0.078,26.6689368288,1.71e-11,0.065,1.041,13.9,0.024
3593.86,1553.93,26.836,0.221,28.8007683258,1.84e-11,0.307,-0.15,4.9,-0.134
2864.17,3618.36,27.83,0.166,27.9526392017,7.38e-12,0.028,2.672,6.5,0.0
3044.03,1068.29,28.306,0.275,99.99,4.76e-12,0.038,1.16,4.0,-0.008
1942.58,1629.27,27.693,0.14,27.4472885839,8.37e-12,0.005,1.12,7.7,0.04
3240.44,2873.25,28.459,0.281,28.6929432459,4.13e-12,0.018,0.533,3.9,0.027
2276.84,519.85,26.429,0.138,27.7492585715,2.68e-11,0.96,-1.623,7.9,0.038
3185.73,1659.13,28.27,0.264,27.9726087355,4.92e-12,0.034,2.016,4.1,-0.087
4000.56,1821.5,28.168,0.194,27.8815775932,5.41e-12,0.006,-0.143,5.6,0.002
1793.48,3052.12,25.177,0.018,22.9379137285,8.49e-11,0.001,0.066,61.2,0.002
221.76,3397.43,27.867,0.166,27.9039909976,7.13e-12,0.012,0.271,6.6,-0.138
1805.29,3028.69,28.13,0.197,27.9460885245,5.6e-12,0.013,1.547,5.5,-0.049
310.05,4027.12,24.015,0.019,99.99,2.48e-10,0.181,0.743,56.4,-0.367
3832.8,2139.05,25.813,0.032,27.0529564924,4.73e-11,0.008,0.358,34.4,0.01
2795.76,286.69,28.453,0.284,28.8616685619,4.16e-12,0.006,2.117,3.8,0.095
2404.2,1637.44,26.663,0.057,26.3358519527,2.16e-11,0.014,0.569,19.0,0.004
2121.02,573.16,22.713,0.007,25.7131956684,8.22e-10,0.129,0.021,146.8,-0.007
1349.86,3514.82,28.277,0.267,27.9649967605,4.89e-12,0.114,-0.726,4.1,0.123
3023.23,2162.84,25.026,0.017,27.7172189262,9.76e-11,0.436,0.288,64.6,-0.019
226.52,2081.44,28.141,0.192,27.8289761987,5.54e-12,0.006,4.135,5.7,0.005
1958.42,697.19,27.857,0.169,27.9897738738,7.2e-12,0.009,2.187,6.4,0.068
3634.77,130.71,28.057,0.201,27.9629005995,5.99e-12,0.042,1.062,5.4,-0.02
1654.8,2822.6,28.196,0.227,27.8541202036,5.27e-12,0.034,-0.151,4.8,0.047
2131.29,3105.92,26.44,0.05,26.2466530107,2.65e-11,0.005,0.136,21.8,0.021
941.28,4026.7,26.054,0.033,23.8481653293,3.79e-11,0.001,4.539,33.1,-0.008
1268.3,3757.58,27.925,0.161,27.8879407443,6.76e-12,0.004,0.352,6.8,-0.027
443.74,1533.85,28.314,0.267,99.99,4.73e-12,0.029,0.131,4.1,-0.141
1984.69,2016.76,27.985,0.185,28.2555369793,6.4e-12,0.007,1.565,5.9,0.075
2491.67,1173.31,27.839,0.161,27.5894111193,7.32e-12,0.012,2.416,6.8,0.035
3904.17,2181.49,28.107,0.204,27.7627849464,5.72e-12,0.004,-0.565,5.3,0.085
3612.09,2704.68,26.423,0.048,26.2339290587,2.7e-11,0.001,0.388,22.5,-0.008
1743.44,2321.57,28.258,0.211,27.9679676754,4.98e-12,0.005,0.951,5.1,0.04
2066.36,78.21,27.508,0.124,27.1619714457,9.93e-12,0.02,1.945,8.8,0.07
3196.78,3169.09,27.952,0.204,27.7951957775,6.6e-12,0.006,-0.813,5.3,0.091
340.14,3647.85,26.966,0.082,27.831812487,1.64e-11,0.399,0.182,13.3,0.015
1524.35,3245.07,27.558,0.135,27.3019334136,9.48e-12,0.006,1.242,8.0,0.027
3929.87,2648.0,28.127,0.247,27.9396714684,5.61e-12,0.029,0.974,4.4,0.028
2445.75,2278.36,27.787,0.156,27.5826099358,7.68e-12,0.004,0.591,7.0,-0.012
382.6,3203.79,25.912,0.031,25.6759760342,4.32e-11,0.002,0.106,35.3,0.007
620.43,2104.29,24.879,0.014,23.1545532869,1.12e-10,0.0,0.105,79.3,-0.006
2787.4,2608.09,27.469,0.124,27.3977675465,1.03e-11,0.014,0.75,8.7,0.023
